value limit month area variable a_dim a_min a_max a_res threshold1 threshold2 threshold3
0.45 0 05 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 05 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 05 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 05 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 05 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 06 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 06 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 06 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 06 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 06 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 07 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 07 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 07 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 07 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 07 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 08 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 08 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 08 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 08 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 08 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 09 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 09 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 09 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 09 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 09 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 10 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 10 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 10 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 10 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 10 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 11 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 11 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 11 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 11 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 11 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.45 0 12 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.5 25 12 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.53 50 12 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.55 75 12 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
0.6 max 12 all_area fuelprice 0 0.4 1 0.01 0.5 0.55 NA
7.7570747308 0 01 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
9.76608758165 25 01 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
11.849261849 50 01 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
14.407314595 75 01 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
27.863928262 max 01 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
8.3872029808 0 02 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
10.256410256 25 02 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
11.6656287135 50 02 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
13.0165401975 75 02 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
25.641025641 max 02 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
7.8319941321 0 03 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
10.256410256 25 03 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
11.798010473 50 03 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
13.686088221 75 03 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
29.914529915 max 03 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
6.8376068376 0 04 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
9.623303200175 25 04 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
11.874749039 50 04 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
14.5730375155 75 04 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
26.324786325 max 04 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
7.6923076923 0 05 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
9.75870332445 25 05 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
11.111111111 50 05 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
12.608618234 75 05 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
30 max 05 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
8.4574935769 0 06 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
10.694828182 25 06 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
11.965811966 50 06 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
12.820512821 75 06 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
17.307692308 max 06 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
7.264957265 0 07 all_area fishprice 10 6.8376068376 34.188034188 0.1 10.8335807676896 14.1246070263125 NA
