VE_REF FT_REF VE_FLT LE_MET_level6 LE_GEAR SI_LATI SI_LONG SI_SP SI_HE SI_STATE SI_DATE SI_TIME SI_HARB LE_KG_COD LE_KG_CSH LE_KG_DAB LE_KG_ELE LE_KG_FLE LE_KG_HAD LE_KG_HER LE_KG_HKE LE_KG_HOM LE_KG_LEM LE_KG_MAC LE_KG_MON LE_KG_MUS LE_KG_NEP LE_KG_NOP LE_KG_OYF LE_KG_PLE LE_KG_POK LE_KG_PRA LE_KG_SAN LE_KG_SOL LE_KG_SPR LE_KG_TUR LE_KG_WHB LE_KG_WHG LE_KG_WIT LE_EFF_VMS KW_HOURS flag land_harb pt_graph
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.7987 12.8427 6.8 354 1 04/12/2012 05:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 4020
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 55.812 12.8213 0.8 167 1 04/12/2012 07:40 NA 789.652173913043 0 17.3347826086957 0 105.847826086957 0 0 0 0 0.165217391304348 0 0 0 0 0 0 46.1695652173913 0 0 0 0.573913043478261 0 0.460869565217391 0 0 0.0130434782608696 60 94 2 NA 4109
DNK000000032 3324070 fleet1 GNS_DEF_110-156_0_0 GN 56.1279 12.3103 0 180 1 04/12/2012 18:30 Gilleleje 32543 0 447.3 0 2845.4 11.6 0 0 0 23.9 0 0 0 1.8 0 0 1525 3.8 0 0 367.7 0 114.2 0 0.6 0.3 650 1018.33333333333 2 NA 4815
DNK000000032 3324070 fleet1 GNS_DEF_100-119_0_0 GN 56.1279 12.3103 0 180 1 04/12/2012 18:30 Gilleleje 9.3 0 58.3 0 81.2 0 0 0 0 1.7 0 0 0 0 0 0 101 0 0 0 82.5 0 47.4 0 0 0 650 1018.33333333333 2 NA 4815
DNK000000032 3324070 fleet1 GNS_DEF_90-99_0_0 GN 56.1279 12.3103 0 180 1 04/12/2012 18:30 Gilleleje 0 0 9 0 2.9 0 0 0 0 0 0 0 0 0 0 0 9.6 0 0 0 232.4 0 12.5 0 0 0 650 1018.33333333333 2 NA 4815
DNK000000032 3324070 fleet1 GNS_DEF_90-109_0_0 GN 56.1279 12.3103 0 180 1 04/12/2012 18:30 Gilleleje 0 0 41.6 0 36.5 0 0 0 0 0 0 0 0 0 0 0 35.9 0 0 0 472.8 0 11 0 0 0 650 1018.33333333333 2 NA 4815
DNK000000569 4047102 fleet1 SDN_DEF_90-119_0_0 SDN 57.674 10.329 2.2 191 1 02/01/2012 07:50 NA 540.033333333333 0 1.1 0 1.33333333333333 1.93333333333333 0 0 0 0.333333333333333 0 0 0 0 0 0 0.433333333333333 0 0 0 0 0 0 0 0 0 60 129 3 NA34 7705
DNK000000569 4047102 fleet1 SDN_DEF_90-119_0_0 SDN 57.689 10.368 0.2 316 1 02/01/2012 09:50 NA 540.033333333333 0 1.1 0 1.33333333333333 1.93333333333333 0 0 0 0.333333333333333 0 0 0 0 0 0 0.433333333333333 0 0 0 0 0 0 0 0 0 60 129 3 NA34 7778
DNK000000569 4047102 fleet1 SDN_DEF_90-119_0_0 SDN 57.673 10.329 0.6 346 1 02/01/2012 10:50 NA 540.033333333333 0 1.1 0 1.33333333333333 1.93333333333333 0 0 0 0.333333333333333 0 0 0 0 0 0 0.433333333333333 0 0 0 0 0 0 0 0 0 60 129 3 NA34 7705
DNK000000569 4047103 fleet1 SDN_DEF_90-119_0_0 SDN 57.689 10.377 9.6 66 1 07/01/2012 11:56 NA 576.65 0 1.1 0 1.25 0 0 0 0 0.15 0 0 0 0 0 0 2.05 0 0 0 0 0 0 0 0 0 60 129 3 NA34 7778
DNK000000569 4047103 fleet1 SDN_DEF_90-119_0_0 SDN 57.681 10.352 0.8 178 1 07/01/2012 12:56 NA 576.65 0 1.1 0 1.25 0 0 0 0 0.15 0 0 0 0 0 0 2.05 0 0 0 0 0 0 0 0 0 60 129 3 NA34 7778
DNK000000569 4047104 fleet1 SDN_DEF_90-119_0_0 SDN 57.765 10.493 1.8 172 1 09/01/2012 13:58 NA 89.2 0 0.3 0 0 5.8 0 0 0 0.3 0 0 0 0 0 0 11.9 0 0 0 1 0 0 0 0 0 60 129 3 NA34 7925
DNK000000569 4047105 fleet1 SDN_DEF_90-119_0_0 SDN 57.677 10.327 2.2 212 1 16/01/2012 07:06 NA 7.5 0 12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7705
DNK000000569 4047105 fleet1 SDN_DEF_90-119_0_0 SDN 57.686 10.268 7.4 313 1 16/01/2012 09:06 NA 7.5 0 12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7704
DNK000000569 4047105 fleet1 SDN_DEF_90-119_0_0 SDN 57.743 10.249 3.6 146 1 16/01/2012 13:06 NA 7.5 0 12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 120 258 3 Hirtshals 7849
DNK000000569 4047105 fleet1 SDN_DEF_90-119_0_0 SDN 57.732 10.209 8.6 333 1 16/01/2012 14:06 NA 7.5 0 12.5 0 0 0 0 0 0 0 0 0 0 0 0 0 2.5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7849
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.616 9.929 8.4 303 1 17/01/2012 03:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7555
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.778 9.312 2.8 191 1 17/01/2012 07:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7762
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.763 9.302 0 291 1 17/01/2012 08:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7762
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.756 9.317 2.4 296 1 17/01/2012 10:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7690
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.761 9.303 0.4 119 1 17/01/2012 11:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7762
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.747 9.249 3.6 68 1 17/01/2012 12:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7689
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.757 9.257 2.2 215 1 17/01/2012 13:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7689
DNK000000569 4047106 fleet1 SDN_DEF_90-119_0_0 SDN 57.738 9.297 9 113 1 17/01/2012 15:08 NA 17 0 8.025 0 0.3 4.975 0 0 0 9.9 0 0.3 0 0 0 0 59.75 0 0 0 0.225 0 1.2875 0 0.0375 2.9 60 129 3 Hirtshals 7617
DNK000000569 4047107 fleet1 SDN_DEF_90-119_0_0 SDN 57.773 10.398 0.4 357 1 18/01/2012 13:08 NA 0 0 57.15 0 0 0 0 0 0 15.2 0 0 0 0 0 0 10.95 0 0 0 0.65 0 0 0 0 0 120 258 3 NA34 7924
DNK000000569 4047107 fleet1 SDN_DEF_90-119_0_0 SDN 57.774 10.435 9 84 1 18/01/2012 14:08 NA 0 0 57.15 0 0 0 0 0 0 15.2 0 0 0 0 0 0 10.95 0 0 0 0.65 0 0 0 0 0 60 129 3 NA34 7924
DNK000000569 4047108 fleet1 SDN_DEF_90-119_0_0 SDN 57.771 10.647 2 188 1 23/01/2012 07:14 NA 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7998
DNK000000569 4047108 fleet1 SDN_DEF_90-119_0_0 SDN 57.763 10.655 0 344 1 23/01/2012 08:14 NA 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7998
DNK000000569 4047108 fleet1 SDN_DEF_90-119_0_0 SDN 57.757 10.486 0.8 353 1 23/01/2012 11:14 NA 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7925
DNK000000569 4047108 fleet1 SDN_DEF_90-119_0_0 SDN 57.748 10.453 8.4 235 1 23/01/2012 12:14 NA 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7852
DNK000000569 4047108 fleet1 SDN_DEF_90-119_0_0 SDN 57.737 10.39 0.8 340 1 23/01/2012 14:14 NA 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 60 129 3 Hirtshals 7851
